C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20120331_20120514.csv
C,Time period: 2012-03-31 to 2012-05-14
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:10:55 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2012-03-31,01,1218.5,1247.1
D,2012-03-31,02,1134.7,1180.2
D,2012-03-31,03,1106.8,1146.6
D,2012-03-31,04,1084.3,1133.0
D,2012-03-31,05,1100.5,1144.3
D,2012-03-31,06,1140.6,1193.4
D,2012-03-31,07,1240.8,1286.2
D,2012-03-31,08,1344.0,1405.4
D,2012-03-31,09,1490.0,1551.2
D,2012-03-31,10,1543.1,1655.4
D,2012-03-31,11,1539.3,1708.1
D,2012-03-31,12,1531.8,1726.7
D,2012-03-31,13,1512.7,1713.3
D,2012-03-31,14,1463.3,1685.9
D,2012-03-31,15,1435.3,1653.2
D,2012-03-31,16,1422.8,1620.8
D,2012-03-31,17,1430.3,1627.3
D,2012-03-31,18,1491.0,1652.3
D,2012-03-31,19,1503.5,1665.1
D,2012-03-31,20,1576.7,1745.9
D,2012-03-31,21,1574.8,1741.5
D,2012-03-31,22,1486.9,1661.6
D,2012-03-31,23,1382.5,1541.4
D,2012-03-31,24,1282.1,1417.9
D,2012-04-01,01,1328.7,1308.6
D,2012-04-01,02,1258.3,1244.6
D,2012-04-01,03,1218.1,1211.6
D,2012-04-01,04,1187.0,1202.0
D,2012-04-01,05,1183.2,1209.5
D,2012-04-01,06,1223.1,1245.4
D,2012-04-01,07,1245.4,1297.0
D,2012-04-01,08,1328.5,1374.9
D,2012-04-01,09,1435.5,1463.0
D,2012-04-01,10,1541.1,1523.0
D,2012-04-01,11,1542.1,1538.2
D,2012-04-01,12,1553.6,1538.5
D,2012-04-01,13,1522.8,1526.5
D,2012-04-01,14,1505.5,1511.3
D,2012-04-01,15,1442.6,1492.3
D,2012-04-01,16,1421.1,1499.3
D,2012-04-01,17,1440.1,1548.0
D,2012-04-01,18,1472.6,1632.4
D,2012-04-01,19,1573.9,1707.5
D,2012-04-01,20,1711.7,1795.9
D,2012-04-01,21,1694.8,1743.0
D,2012-04-01,22,1507.8,1609.8
D,2012-04-01,23,1380.4,1449.6
D,2012-04-01,24,1273.9,1305.2
D,2012-04-02,01,1229.2,1208.6
D,2012-04-02,02,1173.2,1162.3
D,2012-04-02,03,1153.1,1137.6
D,2012-04-02,04,1138.8,1139.4
D,2012-04-02,05,1172.7,1182.1
D,2012-04-02,06,1270.8,1314.8
D,2012-04-02,07,1554.6,1561.2
D,2012-04-02,08,1688.3,1692.6
D,2012-04-02,09,1698.3,1745.5
D,2012-04-02,10,1744.0,1776.3
D,2012-04-02,11,1702.6,1797.2
D,2012-04-02,12,1706.9,1788.1
D,2012-04-02,13,1687.7,1757.3
D,2012-04-02,14,1663.3,1728.1
D,2012-04-02,15,1640.5,1682.5
D,2012-04-02,16,1629.4,1650.8
D,2012-04-02,17,1652.9,1660.8
D,2012-04-02,18,1694.2,1704.8
D,2012-04-02,19,1767.3,1752.9
D,2012-04-02,20,1825.5,1884.4
D,2012-04-02,21,1872.1,1881.5
D,2012-04-02,22,1665.0,1754.7
D,2012-04-02,23,1497.1,1562.1
D,2012-04-02,24,1340.9,1394.3
D,2012-04-03,01,1277.8,1281.4
D,2012-04-03,02,1222.3,1226.7
D,2012-04-03,03,1199.9,1204.4
D,2012-04-03,04,1198.6,1206.2
D,2012-04-03,05,1232.6,1252.2
D,2012-04-03,06,1362.4,1391.7
D,2012-04-03,07,1622.5,1618.4
D,2012-04-03,08,1721.8,1729.3
D,2012-04-03,09,1749.1,1740.1
D,2012-04-03,10,1751.1,1730.5
D,2012-04-03,11,1728.0,1724.7
D,2012-04-03,12,1723.4,1705.8
D,2012-04-03,13,1702.7,1678.7
D,2012-04-03,14,1682.0,1658.9
D,2012-04-03,15,1653.8,1624.7
D,2012-04-03,16,1644.2,1608.2
D,2012-04-03,17,1895.6,1616.1
D,2012-04-03,18,1900.7,1650.6
D,2012-04-03,19,1951.9,1696.5
D,2012-04-03,20,2014.1,1834.2
D,2012-04-03,21,2020.0,1842.7
D,2012-04-03,22,1848.8,1711.9
D,2012-04-03,23,1701.6,1512.7
D,2012-04-03,24,1544.0,1346.0
D,2012-04-04,01,1222.2,1241.7
D,2012-04-04,02,1169.4,1187.1
D,2012-04-04,03,1146.6,1160.4
D,2012-04-04,04,1146.4,1152.4
D,2012-04-04,05,1173.7,1186.3
D,2012-04-04,06,1274.7,1315.4
D,2012-04-04,07,1494.9,1538.3
D,2012-04-04,08,1628.6,1655.4
D,2012-04-04,09,1671.3,1671.7
D,2012-04-04,10,1670.4,1671.0
D,2012-04-04,11,1637.9,1665.3
D,2012-04-04,12,1663.0,1664.4
D,2012-04-04,13,1627.9,1652.0
D,2012-04-04,14,1606.2,1622.3
D,2012-04-04,15,1576.8,1596.3
D,2012-04-04,16,1555.5,1581.2
D,2012-04-04,17,1557.2,1588.9
D,2012-04-04,18,1620.6,1635.1
D,2012-04-04,19,1654.5,1663.0
D,2012-04-04,20,1731.8,1788.1
D,2012-04-04,21,1723.0,1786.5
D,2012-04-04,22,1582.9,1649.7
D,2012-04-04,23,1455.9,1461.8
D,2012-04-04,24,1299.9,1288.9
D,2012-04-05,01,1231.1,1186.8
D,2012-04-05,02,1184.0,1137.0
D,2012-04-05,03,1159.0,1115.8
D,2012-04-05,04,1155.5,1114.9
D,2012-04-05,05,1192.5,1158.2
D,2012-04-05,06,1315.4,1292.6
D,2012-04-05,07,1546.0,1518.2
