,Mean Value," 	1,692 "," 	2,616 ",, 	751 ," 	2,562 ",, 	154 ," 	1,522 ",, 	(102), 	(869),, 	931 ," 	3,454 ",, 	(154), 	633 ,," 	1,549 "," 	3,433 ",, 	689 ," 	1,473 ",, 	(390), 	700 ,, 	390 ," 	1,088 ",, 	872 ," 	2,555 ",," 	1,229 "," 	4,295 ",," 	1,849 "," 	3,656 ",,,,,,
,Std Dev, 	425 , 	476 ,, 	676 , 	520 ,, 	326 , 	307 ,, 	439 ," 	1,437 ",, 	720 , 	826 ,, 	326 , 	259 ,, 	613 , 	619 ,, 	180 , 	228 ,, 	329 , 	-   ,, 	329 , 	320 ,, 	314 , 	481 ,, 	422 , 	540 ,, 	504 , 	648 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The SAS System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Hour,avg_BSTN_act,avg_BSTN_limit,BSTN_cf_flag,avg_CT_IMP_act,avg_CT_IMP_limit,CT_IMP_cf_flag,avg_MENH_act,avg_MENH_limit,MENH_cf_flag,avg_NENY_act,avg_NENY_limit,NENY_cf_flag,avg_NE_E_W_act,avg_NE_E_W_limit,NE_E_W_cf_flag,avg_NHME_act,avg_NHME_limit,NHME_cf_flag,avg_NOSO_act,avg_NOSO_limit,NOSO_cf_flag,avg_NRST_act,avg_NRST_limit,NRST_cf_flag,avg_ORR_NO_act,avg_ORR_NO_limit,ORR_NO_cf_flag,avg_ORR_SO_act,avg_ORR_SO_limit,ORR_SO_cf_flag,avg_SWCT_act,avg_SWCT_limit,SWCT_cf_flag,avg_S_PD_S_act,avg_S_PD_S_limit,S_PD_S_cf_flag,avg_WESTCT_act,avg_WESTCT_limit,WESTCT_cf_flag,,,,,
1/1/11,01," 	1,626 "," 	3,307 ",, 	(150)," 	2,647 ", 	1 , 	27 ," 	1,650 ", 	1 , 	(112)," 	(1,941)",, 	(292),, 	1 , 	(27), 	528 , 	1 ," 	1,816 "," 	3,814 ",, 	524 ," 	1,492 ",, 	(159), 	700 , 	1 , 	159 ," 	1,200 ",, 	445 ," 	2,849 ",, 	892 ," 	4,999 ",," 	1,256 "," 	4,092 ",,,,,,
1/1/11,02," 	1,542 "," 	3,346 ",, 	(383)," 	2,617 ", 	1 , 	114 ," 	1,650 ",, 	(12)," 	(1,046)",, 	(55)," 	3,560 ", 	1 , 	(114), 	511 , 	1 ," 	1,615 "," 	4,079 ",, 	486 ," 	1,451 ",, 	(200), 	700 , 	1 , 	200 ," 	1,200 ",, 	468 ," 	2,936 ",," 	1,089 "," 	4,974 ",," 	1,059 "," 	3,995 ",,,,,,
1/1/11,03," 	1,468 "," 	3,147 ",, 	(529)," 	2,617 ", 	1 , 	165 ," 	1,650 ",, 	(83)," 	(1,349)",, 	(121)," 	3,559 ", 	1 , 	(165), 	511 , 	1 ," 	1,719 "," 	4,014 ",, 	466 ," 	1,427 ",, 	(253), 	700 , 	1 , 	253 ," 	1,200 ",, 	401 ," 	2,935 ",, 	937 ," 	4,968 ",, 	946 ," 	3,974 ",,,,,,
1/1/11,04," 	1,419 "," 	3,151 ",, 	(501)," 	2,617 ", 	1 , 	178 ," 	1,650 ",, 	(8), 	(396),, 	42 ," 	3,507 ", 	1 , 	(178), 	511 , 	1 ," 	1,737 "," 	4,052 ",, 	462 ," 	1,428 ",, 	(270), 	700 , 	1 , 	270 ," 	1,200 ",, 	445 ," 	3,008 ",, 	993 ," 	4,910 ",, 	979 ," 	4,046 ",,,,,,
1/1/11,05," 	1,397 "," 	3,151 ",, 	(462)," 	2,617 ", 	1 , 	153 ," 	1,650 ",, 	25 , 	569 ,, 	320 ," 	3,309 ",, 	(153), 	511 , 	1 ," 	1,725 "," 	4,237 ",, 	461 ," 	1,432 ",, 	(255), 	700 , 	1 , 	255 ," 	1,200 ",, 	484 ," 	3,059 ",," 	1,194 "," 	4,816 ",," 	1,016 "," 	4,098 ",,,,,,
1/1/11,06," 	1,428 "," 	3,150 ",, 	(456)," 	2,617 ", 	1 , 	43 ," 	1,650 ", 	1 , 	(205)," 	(1,990)",, 	(120)," 	3,275 ", 	1 , 	(43), 	538 , 	1 ," 	1,642 "," 	4,092 ",, 	459 ," 	1,429 ",, 	(159), 	700 , 	1 , 	159 ," 	1,200 ",, 	471 ," 	3,029 ",, 	965 ," 	4,967 ",," 	1,011 "," 	4,070 ",,,,,,
1/1/11,07," 	1,508 "," 	3,153 ",, 	(426)," 	2,617 ", 	1 , 	16 ," 	1,650 ", 	1 , 	(239)," 	(2,027)",, 	58 ," 	3,270 ", 	1 , 	(16), 	573 , 	1 ," 	1,612 "," 	4,282 ",, 	469 ," 	1,425 ",, 	(174), 	700 , 	1 , 	174 ," 	1,200 ",, 	453 ," 	2,966 ",," 	1,286 "," 	4,891 ",," 	1,015 "," 	4,007 ",,,,,,
1/1/11,08," 	1,556 "," 	3,155 ",, 	(294)," 	2,617 ", 	1 , 	(37)," 	1,650 ", 	1 , 	(226)," 	(1,968)",, 	169 ," 	3,190 ",, 	37 , 	508 , 	1 ," 	1,580 "," 	4,350 ",, 	484 ," 	1,428 ",, 	(121), 	700 , 	1 , 	121 ," 	1,200 ",, 	544 ," 	3,028 ",," 	1,283 "," 	4,900 ",," 	1,128 "," 	4,067 ",,,,,,
1/1/11,09," 	1,636 "," 	3,144 ",, 	(226)," 	2,617 ", 	1 , 	(54)," 	1,650 ", 	1 , 	(252)," 	(2,080)",, 	51 ," 	3,396 ", 	1 , 	54 , 	550 ,," 	1,607 "," 	4,188 ",, 	512 ," 	1,428 ",, 	(167), 	700 , 	1 , 	167 ," 	1,200 ",, 	544 ," 	2,971 ",," 	1,322 "," 	4,892 ",," 	1,162 "," 	4,010 ",,,,,,
1/1/11,10," 	1,541 "," 	2,947 ",, 	(71)," 	2,617 ", 	1 , 	104 ," 	1,650 ",, 	(319)," 	(2,002)",, 	94 ," 	3,398 ",, 	(104), 	630 , 	1 ," 	1,829 "," 	4,022 ",, 	522 ," 	1,426 ",, 	(393), 	700 , 	1 , 	393 ," 	1,200 ",, 	621 ," 	2,976 ",," 	1,469 "," 	4,604 ",," 	1,279 "," 	3,847 ",,,,,,
1/1/11,11," 	1,584 "," 	2,900 ",, 	(79)," 	2,617 ", 	1 , 	92 ," 	1,650 ",, 	(363)," 	(2,179)",, 	(23)," 	3,401 ", 	1 , 	(92), 	630 , 	1 ," 	1,855 "," 	3,734 ",, 	542 ," 	1,430 ",, 	(401), 	700 , 	1 , 	401 ," 	1,200 ",, 	563 ," 	2,869 ",," 	1,499 "," 	4,591 ",," 	1,245 "," 	3,911 ",,,,,,
1/1/11,12," 	1,622 "," 	2,900 ",, 	(4)," 	1,908 ", 	1 , 	83 ," 	1,650 ",, 	(459)," 	(2,029)",, 	(150)," 	3,403 ", 	1 , 	(83), 	630 , 	1 ," 	1,767 "," 	3,740 ",, 	550 ," 	1,435 ",, 	(437), 	700 , 	1 , 	437 ," 	1,200 ",, 	623 ," 	2,909 ",," 	1,494 "," 	4,652 ",," 	1,311 "," 	3,690 ",,,,,,
1/1/11,13," 	1,639 "," 	2,900 ",, 	10 ," 	1,701 ", 	1 , 	30 ," 	1,650 ", 	1 , 	(486)," 	(2,009)",, 	(171)," 	3,403 ", 	1 , 	(30), 	707 , 	1 ," 	1,731 "," 	3,784 ",, 	533 ," 	1,427 ",, 	(443), 	700 , 	1 , 	443 ," 	1,200 ",, 	636 ," 	2,930 ",," 	1,478 "," 	4,690 ",," 	1,326 "," 	3,669 ",,,,,,
1/1/11,14," 	1,619 "," 	2,902 ",, 	243 ," 	1,946 ",, 	28 ," 	1,650 ", 	1 , 	(583)," 	(1,916)",, 	21 ," 	3,611 ", 	1 , 	(28), 	747 , 	1 ," 	1,660 "," 	3,932 ",, 	525 ," 	1,428 ",, 	(430), 	700 , 	1 , 	430 ," 	1,200 ",, 	735 ," 	3,041 ",," 	1,446 "," 	4,727 ",," 	1,564 "," 	3,643 ",,,,,,
