,Year to,,,,,,,,,,,,,,,,,
2014,Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,
,,,,,,,,,,,,,,,,,,
System Peak Load (MW),24443,21334,19653,19695,16012,16222,21263,24443,22694,23715,17053,18369,19843,,,,,
Generation,23157,20493,17396,16261,13704,14449,19667,23157,19974,21220,14974,14899,16655,,,,,
Pumping Load,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Net Flow Over External Ties,-1286,-841,-2257,-3434,-2308,-1773,-1596,-1286,-2720,-2495,-2079,-3470,-3188,,,,,
Imports,,-2302,-2554,-3762,-2758,-2288,-2247,-1840,-3052,-3042,-2273,-3530,-3204,,,,,
Exports,,1461,297,328,450,516,651,554,332,547,194,60,16,,,,,
,,,,,,,,,,,,,,,,,,
System Minimum Load (MW),,10492,11005,10618,9326,9135,9196,10050,9923,9309,9216,9830,9896,,,,,
,,,,,,,,,,,,,,,,,,
Net Energy for Load (GWh),127176,12022,10468,11037,9452,9463,10400,12244,11229,10236,9710,9968,10945,,,,,
Generation,108357,10095,8345,9051,8013,8435,9322,11085,10081,8927,8302,8031,8671,,,,,
Pumping Load,1877,147,148,144,121,155,143,184,173,168,161,161,172,,,,,
Net Flow Over External Ties,-20696,-2075,-2271,-2131,-1560,-1183,-1221,-1343,-1321,-1478,-1570,-2099,-2446,,,,,
Imports,-23304,-2271,-2345,-2221,-1784,-1467,-1585,-1747,-1777,-1767,-1718,-2123,-2500,,,,,
Exports,2608,196,74,91,224,283,364,404,456,289,148,24,55,,,,,
,,,,,,,,,,,,,,,,,,
(Energy/Peak = Generation - Net Flow Over the External Ties - Pumping Load),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Year to,,,,,,,,,,,,,,,,,
2014,Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,
,,,,,,,,,,,,,,,,,,
Total Generation (GWh),108357,10095,8345,9051,8013,8435,9322,11085,10081,8927,8302,8031,8671,,,,,
Coal,5055,1067,1161,1239,352,21,42,231,41,62,4,548,286,,,,,
Oil,815,491,81,168,4,2,3,6,32,7,6,5,12,,,,,
Gas,42745,2472,2342,2362,3560,3588,4265,5354,4861,4037,3805,2985,3115,,,,,
Oil/Gas,4839,952,369,371,379,308,299,607,389,367,316,254,230,,,,,
Hydro:Pump Storage,1403,117,106,106,84,119,105,135,133,130,114,123,131,,,,,
Hydro:RunRiver&Pondage,7305,729,508,489,844,955,618,639,541,281,433,489,780,,,,,
Nuclear,36838,3440,3070,3454,2058,2718,3240,3336,3344,3297,2797,2766,3319,,,,,
Total Renewables,9358,828,708,863,733,724,750,776,741,747,828,863,798,,,,,
Wood/Refuse,3965,351,300,351,282,281,320,348,336,315,350,364,366,,,,,
Refuse,2577,213,188,234,186,221,225,218,225,216,222,221,209,,,,,
Under 5 MW,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Wind,1929,211,177,204,190,137,114,114,90,135,185,212,160,,,,,
Solar,330,7,8,24,30,32,40,42,43,41,27,21,15,,,,,
Steam,45,3,0,5,1,9,8,11,2,1,2,0,4,,,,,
Landfill Gas,477,39,32,41,40,41,41,41,42,37,40,42,42,,,,,
Methane/Refuse,35,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Steam/Refuse,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
