,BeginDate,HourEnd,Mw,Mw2
0,2015-12-10 01:00:00,1,11458.505325930795,11458.505325930795
1,2015-12-10 02:00:00,2,10473.065682937266,10473.065682937266
2,2015-12-10 03:00:00,3,10473.540604086042,10473.540604086042
3,2015-12-10 04:00:00,4,9648.201085084598,9648.201085084598
4,2015-12-10 05:00:00,5,11284.760577379644,11284.760577379644
5,2015-12-10 06:00:00,6,12069.63629416101,12069.63629416101
6,2015-12-10 07:00:00,7,13017.802692571975,13017.802692571975
7,2015-12-10 08:00:00,8,13003.45409913185,13003.45409913185
8,2015-12-10 09:00:00,9,13869.629603653924,13869.629603653924
9,2015-12-10 10:00:00,10,15049.49274801354,15049.49274801354
10,2015-12-10 11:00:00,11,15371.282992550818,15371.282992550818
11,2015-12-10 12:00:00,12,15169.098865032849,15169.098865032849
12,2015-12-10 13:00:00,13,14113.539944480468,14113.539944480468
13,2015-12-10 14:00:00,14,13582.081511839142,13582.081511839142
14,2015-12-10 15:00:00,15,15097.340549610733,15097.340549610733
15,2015-12-10 16:00:00,16,16427.593509254708,16427.593509254708
16,2015-12-10 17:00:00,17,15825.202320725899,15825.202320725899
17,2015-12-10 18:00:00,18,16648.521613726112,16648.521613726112
18,2015-12-10 19:00:00,19,15131.996585880763,15131.996585880763
19,2015-12-10 20:00:00,20,15505.929374057165,15505.929374057165
20,2015-12-10 21:00:00,21,15488.802657391929,15488.802657391929
21,2015-12-10 22:00:00,22,15078.305741091814,15078.305741091814
22,2015-12-10 23:00:00,23,11975.73439403175,11975.73439403175
23,2015-12-11 00:00:00,24,11625.195645292488,11625.195645292488
24,2015-12-11 01:00:00,1,10880.90047864946,10880.90047864946
25,2015-12-11 02:00:00,2,10352.288000763818,10352.288000763818
26,2015-12-11 03:00:00,3,10108.802529014283,10108.802529014283
27,2015-12-11 04:00:00,4,10469.129686558505,10469.129686558505
28,2015-12-11 05:00:00,5,10092.14095187968,10092.14095187968
29,2015-12-11 06:00:00,6,12249.459754777467,12249.459754777467
30,2015-12-11 07:00:00,7,12614.861259455025,12614.861259455025
31,2015-12-11 08:00:00,8,14068.832887428485,14068.832887428485
32,2015-12-11 09:00:00,9,13772.453194051748,13772.453194051748
33,2015-12-11 10:00:00,10,14286.754477604843,14286.754477604843
34,2015-12-11 11:00:00,11,14918.115816892243,14918.115816892243
35,2015-12-11 12:00:00,12,13869.824952994939,13869.824952994939
36,2015-12-11 13:00:00,13,15082.583053679049,15082.583053679049
37,2015-12-11 14:00:00,14,14832.556811194738,14832.556811194738
38,2015-12-11 15:00:00,15,14597.389887266283,14597.389887266283
39,2015-12-11 16:00:00,16,14881.792487522305,14881.792487522305
40,2015-12-11 17:00:00,17,16594.460552012402,16594.460552012402
41,2015-12-11 18:00:00,18,16081.086011921503,16081.086011921503
42,2015-12-11 19:00:00,19,16072.989044786145,16072.989044786145
43,2015-12-11 20:00:00,20,15042.004192730938,15042.004192730938
44,2015-12-11 21:00:00,21,14948.200818355774,14948.200818355774
45,2015-12-11 22:00:00,22,14478.131678519852,14478.131678519852
46,2015-12-11 23:00:00,23,12808.231785989456,12808.231785989456
47,2015-12-12 00:00:00,24,11691.55699433755,11691.55699433755
0,2015-12-12 01:00:00,1,11458.505325930795,11916.845538968
1,2015-12-12 02:00:00,2,10473.065682937266,10577.7963397666
2,2015-12-12 03:00:00,3,10473.540604086042,11311.4238524129
3,2015-12-12 04:00:00,4,9648.201085084598,9551.71907423375
4,2015-12-12 05:00:00,5,11284.760577379644,11397.6081831534
5,2015-12-12 06:00:00,6,12069.63629416101,12552.4217459274
6,2015-12-12 07:00:00,7,13017.802692571975,12236.7345310177
7,2015-12-12 08:00:00,8,13003.45409913185,13133.4886401232
8,2015-12-12 09:00:00,9,13869.629603653924,13037.4518274347
9,2015-12-12 10:00:00,10,15049.49274801354,15952.4623128944
10,2015-12-12 11:00:00,11,15371.282992550818,15524.9958224763
11,2015-12-12 12:00:00,12,15169.098865032849,13652.1889785296
12,2015-12-12 13:00:00,13,14113.539944480468,15101.4877405941
13,2015-12-12 14:00:00,14,13582.081511839142,13310.4398816024
14,2015-12-12 15:00:00,15,15097.340549610733,15852.2075770913
15,2015-12-12 16:00:00,16,16427.593509254708,16263.3175741622
16,2015-12-12 17:00:00,17,15825.202320725899,16774.7144599695
17,2015-12-12 18:00:00,18,16648.521613726112,17980.4033428242
18,2015-12-12 19:00:00,19,15131.996585880763,14526.7167224455
19,2015-12-12 20:00:00,20,15505.929374057165,16126.1665490195
20,2015-12-12 21:00:00,21,15488.802657391929,14559.4744979484
21,2015-12-12 22:00:00,22,15078.305741091814,16133.7871429682
22,2015-12-12 23:00:00,23,11975.73439403175,11137.4329864495
23,2015-12-13 00:00:00,24,11625.195645292488,11857.6995581983
24,2015-12-13 01:00:00,1,10880.90047864946,10663.2824690765
25,2015-12-13 02:00:00,2,10352.288000763818,9317.05920068744
26,2015-12-13 03:00:00,3,10108.802529014283,10513.1546301749
27,2015-12-13 04:00:00,4,10469.129686558505,10155.0557959618
28,2015-12-13 05:00:00,5,10092.14095187968,9890.29813284209
29,2015-12-13 06:00:00,6,12249.459754777467,12004.4705596819
30,2015-12-13 07:00:00,7,12614.861259455025,12993.3070972387
31,2015-12-13 08:00:00,8,14068.832887428485,13084.0145853085
32,2015-12-13 09:00:00,9,13772.453194051748,13083.8305343492
33,2015-12-13 10:00:00,10,14286.754477604843,12858.0790298444
34,2015-12-13 11:00:00,11,14918.115816892243,15664.0216077369
35,2015-12-13 12:00:00,12,13869.824952994939,13869.8249529949
36,2015-12-13 13:00:00,13,15082.583053679049,14328.4539009951
37,2015-12-13 14:00:00,14,14832.556811194738,13497.6266981872
38,2015-12-13 15:00:00,15,14597.389887266283,13137.6508985397
39,2015-12-13 16:00:00,16,14881.792487522305,13988.884938271
40,2015-12-13 17:00:00,17,16594.460552012402,16926.3497630527
41,2015-12-13 18:00:00,18,16081.086011921503,14955.409991087
42,2015-12-13 19:00:00,19,16072.989044786145,17358.828168369
43,2015-12-13 20:00:00,20,15042.004192730938,14891.5841508036
44,2015-12-13 21:00:00,21,14948.200818355774,14948.2008183558
45,2015-12-13 22:00:00,22,14478.131678519852,15202.0382624458
46,2015-12-13 23:00:00,23,12808.231785989456,11655.4909252504
47,2015-12-14 00:00:00,24,11691.55699433755,12509.9659839412
