Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MMBtu,Low price $/MMBtu,Wtd avg price $/MMBtu,Change,Daily volume MMBtu,Number of trades,Number of counterparties,
Algonquin Citygates,3/17/14,3/18/14,3/18/14, 	16.00 , 	12.00 , 	13.75 ,-6.64,"17,300",5,7,
Algonquin Citygates,3/18/14,3/19/14,3/19/14, 	7.00 , 	6.70 , 	6.85 ,-6.90,"67,100",18,13,
Algonquin Citygates,3/19/14,3/20/14,3/20/14, 	5.50 , 	5.25 , 	5.36 ,-1.49,"120,500",27,20,
Algonquin Citygates,3/20/14,3/21/14,3/21/14, 	5.22 , 	5.10 , 	5.16 ,-0.19,"39,300",11,12,
Algonquin Citygates,3/21/14,3/22/14,3/24/14, 	8.25 , 	7.20 , 	7.79 ,2.62,"59,000",15,10,
Algonquin Citygates,3/24/14,3/25/14,3/25/14, 	14.00 , 	11.25 , 	12.30 ,4.51,"59,200",14,11,
Algonquin Citygates,3/25/14,3/26/14,3/26/14, 	17.50 , 	13.00 , 	14.81 ,2.50,"87,500",23,14,
Algonquin Citygates,3/26/14,3/27/14,3/27/14, 	7.75 , 	6.30 , 	7.03 ,-7.78,"68,100",16,11,
Algonquin Citygates,3/27/14,3/28/14,3/28/14, 	5.05 , 	4.99 , 	5.00 ,-2.02,"127,400",24,19,
Algonquin Citygates,3/28/14,3/29/14,3/31/14, 	5.20 , 	4.70 , 	4.84 ,-0.16,"163,300",39,17,
Algonquin Citygates,3/31/14,4/1/14,4/1/14, 	6.25 , 	5.90 , 	6.09 ,1.24,"66,400",17,10,
Algonquin Citygates,4/1/14,4/2/14,4/2/14, 	5.50 , 	5.25 , 	5.45 ,-0.64,"23,400",9,12,
Algonquin Citygates,4/2/14,4/3/14,4/3/14, 	5.25 , 	5.18 , 	5.20 ,-0.25,"44,100",9,12,
Algonquin Citygates,4/3/14,4/4/14,4/4/14, 	5.35 , 	5.10 , 	5.22 ,0.02,"24,000",7,8,
Algonquin Citygates,4/4/14,4/5/14,4/7/14, 	5.10 , 	4.60 , 	4.84 ,-0.38,"108,000",26,16,
Algonquin Citygates,4/7/14,4/8/14,4/8/14, 	4.95 , 	4.78 , 	4.84 ,-0.00,"133,100",23,15,
Algonquin Citygates,4/8/14,4/9/14,4/9/14, 	5.40 , 	5.00 , 	5.18 ,0.34,"65,200",11,9,
Algonquin Citygates,4/9/14,4/10/14,4/10/14, 	5.12 , 	4.85 , 	4.97 ,-0.21,"120,700",24,15,
Algonquin Citygates,4/10/14,4/11/14,4/11/14, 	4.85 , 	4.50 , 	4.63 ,-0.34,"49,200",13,12,
Algonquin Citygates,4/11/14,4/12/14,4/14/14, 	4.25 , 	3.85 , 	4.08 ,-0.55,"79,100",15,13,
Algonquin Citygates,4/14/14,4/15/14,4/15/14, 	5.45 , 	5.10 , 	5.21 ,1.13,"77,500",20,13,
Algonquin Citygates,4/15/14,4/16/14,4/16/14, 	7.00 , 	6.50 , 	6.77 ,1.56,"93,000",24,14,
Algonquin Citygates,4/16/14,4/17/14,4/17/14, 	5.74 , 	5.35 , 	5.56 ,-1.21,"73,200",12,9,
Algonquin Citygates,4/17/14,4/18/14,4/21/14, 	4.60 , 	4.10 , 	4.27 ,-1.29,"140,900",29,15,
Algonquin Citygates,4/21/14,4/22/14,4/22/14, 	4.60 , 	4.50 , 	4.54 ,0.26,"57,300",15,14,
Algonquin Citygates,4/22/14,4/23/14,4/23/14, 	4.70 , 	4.55 , 	4.60 ,0.06,"61,600",16,13,
Algonquin Citygates,4/23/14,4/24/14,4/24/14, 	4.90 , 	4.74 , 	4.81 ,0.21,"98,700",19,15,
Algonquin Citygates,4/24/14,4/25/14,4/25/14, 	4.70 , 	4.28 , 	4.55 ,-0.26,"88,700",24,17,
Algonquin Citygates,4/25/14,4/26/14,4/28/14, 	4.42 , 	4.10 , 	4.30 ,-0.26,"29,500",8,8,
Algonquin Citygates,4/28/14,4/29/14,4/29/14, 	5.25 , 	4.95 , 	5.05 ,0.76,"69,300",17,14,
Algonquin Citygates,4/29/14,4/30/14,4/30/14, 	5.10 , 	4.80 , 	4.88 ,-0.18,"62,600",14,13,
Algonquin Citygates,4/30/14,5/1/14,5/1/14, 	4.62 , 	4.43 , 	4.52 ,-0.36,"201,900",34,19,
Algonquin Citygates,5/1/14,5/2/14,5/2/14, 	4.60 , 	4.25 , 	4.43 ,-0.09,"53,300",17,17,
Algonquin Citygates,5/2/14,5/3/14,5/5/14, 	4.10 , 	4.00 , 	4.06 ,-0.37,"70,500",19,10,
Algonquin Citygates,5/5/14,5/6/14,5/6/14, 	5.10 , 	4.90 , 	5.01 ,0.95,"60,700",12,9,
Algonquin Citygates,5/6/14,5/7/14,5/7/14, 	4.50 , 	4.30 , 	4.36 ,-0.64,"31,300",7,8,
Algonquin Citygates,5/7/14,5/8/14,5/8/14, 	4.52 , 	4.38 , 	4.45 ,0.09,"15,000",5,8,
Algonquin Citygates,5/8/14,5/9/14,5/9/14, 	4.18 , 	4.06 , 	4.13 ,-0.33,"80,100",17,11,
Algonquin Citygates,5/9/14,5/10/14,5/12/14, 	4.00 , 	3.55 , 	3.62 ,-0.50,"23,400",10,13,
