Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MMBtu,Low price $/MMBtu,Wtd avg price $/MMBtu,Change,Daily volume MMBtu,Number of trades,Number of counterparties,
Algonquin Citygates,1/2/15,01/03/15,01/05/15,8.00,7.00,7.63,1.80,"56,300",18,8,
Algonquin Citygates,1/5/15,01/06/15,01/06/15,10.75,9.00,9.92,2.28,"72,100",20,12,
Algonquin Citygates,1/6/15,01/07/15,01/07/15,15.00,11.50,12.94,3.02,"99,900",24,17,
Algonquin Citygates,1/7/15,01/08/15,01/08/15,15.00,11.50,12.65,-0.29,"64,900",15,12,
Algonquin Citygates,1/8/15,01/09/15,01/09/15,8.25,7.00,7.77,-4.88,"52,500",13,10,
Algonquin Citygates,1/9/15,01/10/15,01/12/15,12.00,7.00,9.81,2.04,"144,500",32,18,
Algonquin Citygates,1/12/15,01/13/15,01/13/15,12.50,11.50,12.12,2.32,"75,600",18,11,
Algonquin Citygates,1/13/15,01/14/15,01/14/15,12.25,10.75,11.49,-0.64,"78,100",24,15,
Algonquin Citygates,1/14/15,01/15/15,01/15/15,11.45,10.00,10.78,-0.71,"110,400",30,17,
Algonquin Citygates,1/15/15,01/16/15,01/16/15,14.85,12.50,13.62,2.84,"151,700",30,13,
Algonquin Citygates,1/16/15,01/17/15,01/20/15,8.15,7.20,7.68,-5.94,"15,200",6,10,
Algonquin Citygates,1/20/15,01/21/15,01/21/15,9.00,8.25,8.84,1.16,"117,200",29,14,
Algonquin Citygates,1/21/15,01/22/15,01/22/15,8.00,7.50,7.75,-1.09,"79,200",18,9,
Algonquin Citygates,1/22/15,01/23/15,01/23/15,6.75,6.55,6.58,-1.16,"23,400",7,9,
Algonquin Citygates,1/23/15,01/24/15,01/26/15,10.25,8.00,9.48,2.89,"99,100",25,13,
Algonquin Citygates,1/26/15,01/27/15,01/27/15,11.00,10.25,10.75,1.28,"81,100",22,13,
Algonquin Citygates,1/27/15,01/28/15,01/28/15,9.75,9.00,9.12,-1.64,"80,500",20,14,
Algonquin Citygates,1/28/15,01/29/15,01/29/15,10.00,8.70,8.96,-0.16,"104,000",27,13,
Algonquin Citygates,1/29/15,01/30/15,01/31/15,12.50,10.55,11.51,2.56,"183,100",49,16,
