Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MMBtu,Low price $/MMBtu,Wtd avg price $/MMBtu,Change,Daily volume MMBtu,Number of trades,Number of counterparties,
Algonquin Citygates,1/2/15,01/03/15,01/05/15,8,7,7.63,1.8,56300,18,8,
Algonquin Citygates,1/5/15,01/06/15,01/06/15,10.75,9,9.92,2.28,72100,20,12,
Algonquin Citygates,1/6/15,01/07/15,01/07/15,15,11.5,12.94,3.02,99900,24,17,
Algonquin Citygates,1/7/15,01/08/15,01/08/15,15,11.5,12.65,-0.29,64900,15,12,
Algonquin Citygates,1/8/15,01/09/15,01/09/15,8.25,7,7.77,-4.88,52500,13,10,
Algonquin Citygates,1/9/15,01/10/15,01/12/15,12,7,9.81,2.04,144500,32,18,
Algonquin Citygates,1/12/15,01/13/15,01/13/15,12.5,11.5,12.12,2.32,75600,18,11,
Algonquin Citygates,1/13/15,01/14/15,01/14/15,12.25,10.75,11.49,-0.64,78100,24,15,
Algonquin Citygates,1/14/15,01/15/15,01/15/15,11.45,10,10.78,-0.71,110400,30,17,
Algonquin Citygates,1/15/15,01/16/15,01/16/15,14.85,12.5,13.62,2.84,151700,30,13,
Algonquin Citygates,1/16/15,01/17/15,01/20/15,8.15,7.2,7.68,-5.94,15200,6,10,
Algonquin Citygates,1/20/15,01/21/15,01/21/15,9,8.25,8.84,1.16,117200,29,14,
Algonquin Citygates,1/21/15,01/22/15,01/22/15,8,7.5,7.75,-1.09,79200,18,9,
Algonquin Citygates,1/22/15,01/23/15,01/23/15,6.75,6.55,6.58,-1.16,23400,7,9,
Algonquin Citygates,1/23/15,01/24/15,01/26/15,10.25,8,9.48,2.89,99100,25,13,
Algonquin Citygates,1/26/15,01/27/15,01/27/15,11,10.25,10.75,1.28,81100,22,13,
Algonquin Citygates,1/27/15,01/28/15,01/28/15,9.75,9,9.12,-1.64,80500,20,14,
Algonquin Citygates,1/28/15,01/29/15,01/29/15,10,8.7,8.96,-0.16,104000,27,13,
Algonquin Citygates,1/29/15,01/30/15,01/31/15,12.5,10.55,11.51,2.56,183100,49,16,
Algonquin Citygates,1/30/15,02/01/15,02/02/15,15,11.75,12.6,1.09,126400,36,17,
Algonquin Citygates,2/2/15,02/03/15,02/03/15,11.45,10.65,10.96,-1.64,85300,21,10,
Algonquin Citygates,2/3/15,02/04/15,02/04/15,10,7.8,8.22,-2.74,96400,32,16,
Algonquin Citygates,2/4/15,02/05/15,02/05/15,13,12,12.3,4.08,151900,41,16,
Algonquin Citygates,2/5/15,02/06/15,02/06/15,11.8,10.5,11.36,-0.94,102500,30,18,
Algonquin Citygates,2/6/15,02/07/15,02/09/15,9,8.25,8.65,-2.71,95000,26,12,
Algonquin Citygates,2/9/15,02/10/15,02/10/15,14.4,10.5,12.62,3.97,110200,41,16,
Algonquin Citygates,2/10/15,02/11/15,02/11/15,17,15,16.46,3.84,83000,36,17,
Algonquin Citygates,2/11/15,02/12/15,02/12/15,21.5,17.5,19.28,2.82,114600,43,17,
Algonquin Citygates,2/12/15,02/13/15,02/13/15,22,17,18.16,-1.12,140100,36,22,
Algonquin Citygates,2/13/15,02/14/15,02/17/15,26,22,23.5,5.34,76700,31,15,
Algonquin Citygates,2/17/15,02/18/15,02/18/15,30,17,21.36,-2.14,49300,14,11,
Algonquin Citygates,2/18/15,02/19/15,02/19/15,23,19,21.33,-0.04,53600,18,12,
Algonquin Citygates,2/19/15,02/20/15,02/20/15,18.5,16,17.05,-4.28,41300,16,12,
Algonquin Citygates,2/20/15,02/21/15,02/23/15,15,12.65,13.23,-3.82,79900,25,13,
Algonquin Citygates,2/23/15,02/24/15,02/24/15,33,26,28.05,14.82,30100,8,7,
Algonquin Citygates,2/24/15,02/25/15,02/25/15,31,27,30.02,1.97,73200,22,12,
Algonquin Citygates,2/25/15,02/26/15,02/26/15,30,24,25.53,-4.5,50000,14,11,
Algonquin Citygates,2/26/15,02/27/15,02/28/15,25,21.25,22.97,-2.56,21200,12,10,
Algonquin Citygates,2/27/15,03/01/15,03/02/15,16.5,15.25,15.89,-7.08,76200,27,17,
Algonquin Citygates,3/2/15,03/03/15,03/03/15,13.95,11,12.91,-2.98,41300,15,10,
