,Trade date,High price $/MMBtu,Wtd avg price $/MMBtu,Low price $/MMBtu,Change,Daily volume MMBtu,Number of trades
0,3/17/14,16.0,13.75,12.0,-6.64,"17,300",5.0
1,3/18/14,7.0,6.85,6.7,-6.9,"67,100",18.0
2,3/19/14,5.5,5.36,5.25,-1.49,"120,500",27.0
3,3/20/14,5.22,5.16,5.1,-0.19,"39,300",11.0
4,3/21/14,8.25,7.79,7.2,2.62,"59,000",15.0
5,3/24/14,14.0,12.3,11.25,4.51,"59,200",14.0
6,3/25/14,17.5,14.81,13.0,2.5,"87,500",23.0
7,3/26/14,7.75,7.03,6.3,-7.78,"68,100",16.0
8,3/27/14,5.05,5.0,4.99,-2.02,"127,400",24.0
9,3/28/14,5.2,4.84,4.7,-0.16,"163,300",39.0
10,3/31/14,6.25,6.09,5.9,1.24,"66,400",17.0
11,4/1/14,5.5,5.45,5.25,-0.64,"23,400",9.0
12,4/2/14,5.25,5.2,5.18,-0.25,"44,100",9.0
13,4/3/14,5.35,5.22,5.1,0.02,"24,000",7.0
14,4/4/14,5.1,4.84,4.6,-0.38,"108,000",26.0
15,4/7/14,4.95,4.84,4.78,-0.0,"133,100",23.0
16,4/8/14,5.4,5.18,5.0,0.34,"65,200",11.0
17,4/9/14,5.12,4.97,4.85,-0.21,"120,700",24.0
18,4/10/14,4.85,4.63,4.5,-0.34,"49,200",13.0
19,4/11/14,4.25,4.08,3.85,-0.55,"79,100",15.0
20,4/14/14,5.45,5.21,5.1,1.13,"77,500",20.0
21,4/15/14,7.0,6.77,6.5,1.56,"93,000",24.0
22,4/16/14,5.74,5.56,5.35,-1.21,"73,200",12.0
23,4/17/14,4.6,4.27,4.1,-1.29,"140,900",29.0
24,4/21/14,4.6,4.54,4.5,0.26,"57,300",15.0
25,4/22/14,4.7,4.6,4.55,0.06,"61,600",16.0
26,4/23/14,4.9,4.81,4.74,0.21,"98,700",19.0
27,4/24/14,4.7,4.55,4.28,-0.26,"88,700",24.0
28,4/25/14,4.42,4.3,4.1,-0.26,"29,500",8.0
29,4/28/14,5.25,5.05,4.95,0.76,"69,300",17.0
30,4/29/14,5.1,4.88,4.8,-0.18,"62,600",14.0
31,4/30/14,4.62,4.52,4.43,-0.36,"201,900",34.0
32,5/1/14,4.6,4.43,4.25,-0.09,"53,300",17.0
33,5/2/14,4.1,4.06,4.0,-0.37,"70,500",19.0
34,5/5/14,5.1,5.01,4.9,0.95,"60,700",12.0
35,5/6/14,4.5,4.36,4.3,-0.64,"31,300",7.0
36,5/7/14,4.52,4.45,4.38,0.09,"15,000",5.0
37,5/8/14,4.18,4.13,4.06,-0.33,"80,100",17.0
38,5/9/14,4.0,3.62,3.55,-0.5,"23,400",10.0
39,5/12/14,4.12,4.1,4.03,0.48,"20,000",5.0
40,5/12/14,4.12,4.1,4.03,0.48,"20,000",5.0
41,5/13/14,3.9,3.8,3.72,-0.3,"34,200",10.0
42,5/14/14,4.3,4.11,3.9,0.31,"53,300",11.0
43,5/15/14,4.08,4.06,3.95,-0.06,"65,500",14.0
44,5/16/14,3.5,3.37,3.29,-0.69,"52,200",11.0
45,5/19/14,3.75,3.7,3.65,0.33,"42,900",10.0
46,5/20/14,3.8,3.78,3.68,0.08,"34,700",8.0
47,5/21/14,3.7,3.58,3.5,-0.2,"40,900",10.0
48,5/22/14,3.5,3.45,3.3,-0.14,"8,200",3.0
49,5/23/14,3.32,3.02,2.94,-0.42,"78,100",23.0
50,5/27/14,3.95,3.82,3.75,0.8,"15,000",5.0
51,5/28/14,4.37,4.25,4.15,0.43,"26,000",6.0
52,5/29/14,3.6,3.53,3.45,-0.72,"15,500",4.0
53,5/30/14,3.67,3.58,3.5,0.05,"29,800",8.0
54,6/2/14,4.1,3.72,3.53,0.13,"94,400",26.0
55,6/3/14,4.1,4.01,3.9,0.29,"14,300",3.0
56,6/4/14,6.0,5.25,5.0,1.24,"154,500",35.0
57,6/5/14,4.4,4.05,3.65,-1.2,"114,400",27.0
58,6/6/14,6.0,5.25,5.0,1.24,"154,500",35.0
59,6/9/14,4.0,3.8,3.55,0.46,"125,000",24.0
60,6/10/14,5.5,5.22,5.1,1.42,"108,000",23.0
61,6/11/14,4.95,4.94,4.8,-0.28,"10,200",4.0
62,6/12/14,4.15,4.0,3.82,-0.94,"33,500",9.0
63,6/13/14,4.85,4.63,4.28,0.64,"157,500",38.0
64,6/16/14,5.9,5.72,5.49,1.09,"63,900",14.0
65,6/17/14,7.35,7.2,6.4,1.48,"69,200",13.0
66,6/18/14,5.65,5.64,5.63,-1.56,"10,600",5.0
67,6/19/14,4.9,4.8,4.7,-0.84,"58,800",12.0
68,6/20/14,3.25,2.79,2.5,-2.01,"82,000",19.0
69,6/23/14,3.5,3.37,3.25,0.57,"154,400",33.0
70,6/24/14,3.85,3.78,3.7,0.42,"38,300",8.0
71,6/25/14,4.25,4.24,4.2,0.45,"50,000",11.0
72,6/26/14,3.83,3.76,3.75,-0.48,"39,100",13.0
73,6/27/14,3.2,3.03,2.98,-0.73,"95,200",24.0
74,6/30/14,5.0,4.92,4.5,1.89,"177,500",38.0
75,7/1/14,4.75,4.65,4.4,-0.27,"109,100",22.0
76,7/2/14,4.12,4.01,3.85,-0.64,"73,700",17.0
77,7/3/14,3.15,3.1,3.06,-0.91,"38,000",9.0
78,7/7/14,4.5,4.16,3.95,1.06,"37,600",12.0
79,7/8/14,3.5,3.43,3.4,-0.73,"75,400",18.0
80,7/9/14,3.05,2.96,2.92,-0.46,"78,100",20.0
81,7/10/14,2.82,2.76,2.35,-0.21,"28,600",8.0
82,7/11/14,2.78,2.59,2.5,-0.17,"37,000",10.0
83,7/14/14,3.86,3.77,3.6,1.18,"86,000",19.0
84,7/15/14,3.73,3.59,3.45,-0.18,"58,400",17.0
85,7/16/14,3.1,3.0,2.9,-0.59,"56,700",15.0
86,7/17/14,2.71,2.65,2.6,-0.35,"31,200",10.0
87,7/18/14,2.62,2.56,2.5,-0.09,"36,300",11.0
88,7/21/14,3.35,3.28,3.25,0.72,"22,200",6.0
89,7/22/14,3.5,3.41,3.2,0.13,"38,700",9.0
90,7/23/14,2.95,2.9,2.85,-0.51,"26,400",10.0
91,7/25/14,3.0,2.65,2.5,-0.26,"25,500",11.0
92,7/28/14,2.85,2.7,2.5,0.05,"26,000",9.0
93,7/29/14,3.2,3.02,2.7,0.33,"31,500",10.0
94,7/30/14,3.0,2.93,2.85,-0.09,"44,900",12.0
95,7/31/14,2.55,2.5,2.45,-0.43,"24,000",8.0
96,8/1/14,2.42,2.35,2.19,-0.15,"34,900",11.0
97,8/4/14,2.95,2.8,2.65,0.44,"58,500",14.0
98,8/5/14,3.1,2.84,2.72,0.05,"52,400",10.0
99,8/6/14,2.89,2.85,2.75,0.01,"87,200",21.0
100,8/7/14,2.8,2.76,2.67,-0.08,"104,700",24.0
101,8/8/14,2.7,2.65,2.6,-0.12,"38,500",12.0
102,8/11/14,3.05,2.99,2.9,0.34,"101,400",24.0
103,8/12/14,2.72,2.67,2.64,-0.32,"38,500",13.0
104,8/13/14,2.72,2.69,2.66,0.02,"62,600",21.0
105,8/14/14,2.6,2.52,2.4,-0.17,"59,400",17.0
106,8/15/14,2.3,2.24,2.2,-0.28,"71,700",22.0
107,8/18/14,2.73,2.66,2.57,0.42,"29,300",11.0
108,8/19/14,2.8,2.75,2.68,0.09,"71,100",21.0
109,8/20/14,2.52,2.46,2.4,-0.29,"58,800",17.0
110,8/21/14,2.48,2.42,2.4,-0.04,"90,500",20.0
111,8/22/14,2.3,2.23,2.0,-0.19,"72,700",25.0
112,8/25/14,3.3,3.18,3.0,0.95,"58,500",13.0
113,8/26/14,4.5,4.24,3.85,1.06,"103,600",24.0
114,8/27/14,3.2,2.94,2.8,-1.3,"65,700",14.0
115,8/28/14,2.88,2.75,2.7,-0.19,"82,100",22.0
116,8/29/14,4.5,3.81,3.5,1.06,"113,600",31.0
117,9/2/14,4.45,4.31,4.25,0.51,"134,200",28.0
118,9/3/14,4.5,4.34,4.2,0.02,"129,600",33.0
119,9/4/14,4.3,4.17,4.09,-0.16,"80,600",19.0
120,9/5/14,3.25,3.06,2.9,-1.12,"58,200",16.0
