,temptime5,electime5,temp,MWH,MWHp
0,2011-01-01 01:00:00,2011-01-01 01:00:00,7.7,1438.0,1333.2
1,2011-01-01 02:00:00,2011-01-01 02:00:00,7.0,1348.0,1255.4
2,2011-01-01 03:00:00,2011-01-01 03:00:00,7.2,1285.7,1205.7
3,2011-01-01 04:00:00,2011-01-01 04:00:00,6.1,1252.1,1183.3
4,2011-01-01 05:00:00,2011-01-01 05:00:00,6.3,1242.5,1195.2
5,2011-01-01 06:00:00,2011-01-01 06:00:00,6.3,1264.3,1246.8
6,2011-01-01 07:00:00,2011-01-01 07:00:00,4.5,1310.4,1347.2
7,2011-01-01 08:00:00,2011-01-01 08:00:00,5.8,1343.7,1430.0
8,2011-01-01 09:00:00,2011-01-01 09:00:00,5.2,1431.8,1553.7
9,2011-01-01 10:00:00,2011-01-01 10:00:00,5.2,1513.8,1626.4
10,2011-01-01 11:00:00,2011-01-01 11:00:00,6.6,1581.5,1648.6
11,2011-01-01 12:00:00,2011-01-01 12:00:00,6.0,1614.1,1644.8
12,2011-01-01 13:00:00,2011-01-01 13:00:00,6.2,1606.0,1641.7
13,2011-01-01 14:00:00,2011-01-01 14:00:00,8.1,1581.9,1621.5
14,2011-01-01 15:00:00,2011-01-01 15:00:00,9.3,1557.8,1612.3
15,2011-01-01 16:00:00,2011-01-01 16:00:00,9.4,1587.0,1636.6
16,2011-01-01 17:00:00,2011-01-01 17:00:00,11.6,1765.4,1831.2
17,2011-01-01 18:00:00,2011-01-01 18:00:00,13.1,1931.2,1986.0
18,2011-01-01 19:00:00,2011-01-01 19:00:00,14.5,1916.8,1970.0
19,2011-01-01 20:00:00,2011-01-01 20:00:00,14.6,1863.5,1911.6
20,2011-01-01 21:00:00,2011-01-01 21:00:00,14.0,1799.2,1856.4
21,2011-01-01 22:00:00,2011-01-01 22:00:00,12.9,1698.2,1695.3
22,2011-01-01 23:00:00,2011-01-01 23:00:00,11.9,1558.1,1553.4
23,2011-01-02 00:00:00,2011-01-02 00:00:00,10.7,1410.9,1375.0
24,2011-01-02 01:00:00,2011-01-02 01:00:00,10.5,1288.6,1283.3
25,2011-01-02 02:00:00,2011-01-02 02:00:00,9.5,1212.8,1202.9
26,2011-01-02 03:00:00,2011-01-02 03:00:00,8.7,1171.6,1162.8
27,2011-01-02 04:00:00,2011-01-02 04:00:00,8.7,1166.1,1141.2
28,2011-01-02 05:00:00,2011-01-02 05:00:00,8.6,1169.2,1149.1
29,2011-01-02 06:00:00,2011-01-02 06:00:00,8.6,1200.9,1187.2
30,2011-01-02 07:00:00,2011-01-02 07:00:00,8.7,1266.7,1272.9
31,2011-01-02 08:00:00,2011-01-02 08:00:00,8.4,1343.9,1361.9
32,2011-01-02 09:00:00,2011-01-02 09:00:00,8.7,1460.5,1496.2
33,2011-01-02 10:00:00,2011-01-02 10:00:00,8.7,1587.2,1581.1
34,2011-01-02 11:00:00,2011-01-02 11:00:00,8.7,1673.0,1614.2
35,2011-01-02 12:00:00,2011-01-02 12:00:00,8.3,1726.4,1639.2
36,2011-01-02 13:00:00,2011-01-02 13:00:00,8.2,1747.4,1649.8
37,2011-01-02 14:00:00,2011-01-02 14:00:00,7.9,1731.2,1633.4
38,2011-01-02 15:00:00,2011-01-02 15:00:00,8.6,1717.3,1627.6
39,2011-01-02 16:00:00,2011-01-02 16:00:00,9.3,1742.0,1656.5
40,2011-01-02 17:00:00,2011-01-02 17:00:00,9.7,1915.3,1829.5
41,2011-01-02 18:00:00,2011-01-02 18:00:00,10.0,2055.8,1988.7
