hour,time,temp,date,hour,MWHp,MWH
2011-01-01,1,7.7,2011-01-01,1,1333.2,1438
2011-01-01,2,7,2011-01-01,2,1255.4,1348
2011-01-01,3,7.2,2011-01-01,3,1205.7,1285.7
2011-01-01,4,6.1,2011-01-01,4,1183.3,1252.1
2011-01-01,5,6.3,2011-01-01,5,1195.2,1242.5
2011-01-01,6,6.3,2011-01-01,6,1246.8,1264.3
2011-01-01,7,4.5,2011-01-01,7,1347.2,1310.4
2011-01-01,8,5.8,2011-01-01,8,1430,1343.7
2011-01-01,9,5.2,2011-01-01,9,1553.7,1431.8
2011-01-01,10,5.2,2011-01-01,10,1626.4,1513.8
2011-01-01,11,6.6,2011-01-01,11,1648.6,1581.5
2011-01-01,12,6,2011-01-01,12,1644.8,1614.1
2011-01-01,13,6.2,2011-01-01,13,1641.7,1606
2011-01-01,14,8.1,2011-01-01,14,1621.5,1581.9
2011-01-01,15,9.3,2011-01-01,15,1612.3,1557.8
2011-01-01,16,9.4,2011-01-01,16,1636.6,1587
2011-01-01,17,11.6,2011-01-01,17,1831.2,1765.4
2011-01-01,18,13.1,2011-01-01,18,1986,1931.2
2011-01-01,19,14.5,2011-01-01,19,1970,1916.8
2011-01-01,20,14.6,2011-01-01,20,1911.6,1863.5
2011-01-01,21,14,2011-01-01,21,1856.4,1799.2
2011-01-01,22,12.9,2011-01-01,22,1695.3,1698.2
2011-01-01,23,11.9,2011-01-01,23,1553.4,1558.1
2011-01-02,0,10.7,2011-01-01,24,1375,1410.9
2011-01-02,1,10.5,2011-01-02,1,1283.3,1288.6
2011-01-02,2,9.5,2011-01-02,2,1202.9,1212.8
2011-01-02,3,8.7,2011-01-02,3,1162.8,1171.6
2011-01-02,4,8.7,2011-01-02,4,1141.2,1166.1
2011-01-02,5,8.6,2011-01-02,5,1149.1,1169.2
2011-01-02,6,8.6,2011-01-02,6,1187.2,1200.9
2011-01-02,7,8.7,2011-01-02,7,1272.9,1266.7
2011-01-02,8,8.4,2011-01-02,8,1361.9,1343.9
2011-01-02,9,8.7,2011-01-02,9,1496.2,1460.5
2011-01-02,10,8.7,2011-01-02,10,1581.1,1587.2
2011-01-02,11,8.7,2011-01-02,11,1614.2,1673
2011-01-02,12,8.3,2011-01-02,12,1639.2,1726.4
2011-01-02,13,8.2,2011-01-02,13,1649.8,1747.4
2011-01-02,14,7.9,2011-01-02,14,1633.4,1731.2
2011-01-02,15,8.6,2011-01-02,15,1627.6,1717.3
2011-01-02,16,9.3,2011-01-02,16,1656.5,1742
2011-01-02,17,9.7,2011-01-02,17,1829.5,1915.3
2011-01-02,18,10,2011-01-02,18,1988.7,2055.8
2011-01-02,19,10.5,2011-01-02,19,1976.9,2041
2011-01-02,20,10.6,2011-01-02,20,1920.8,1972.9
2011-01-02,21,10.7,2011-01-02,21,1867.2,1880.1
2011-01-02,22,10.1,2011-01-02,22,1695.1,1735.4
2011-01-02,23,9.3,2011-01-02,23,1548,1574
2011-01-03,0,9.7,2011-01-02,24,1389.5,1423.2
2011-01-03,1,9.1,2011-01-03,1,1311.4,1323.9
2011-01-03,2,7.3,2011-01-03,2,1254.5,1276.6
2011-01-03,3,5.3,2011-01-03,3,1235.9,1262.3
2011-01-03,4,4.8,2011-01-03,4,1238.5,1272.6
2011-01-03,5,4.1,2011-01-03,5,1272.7,1323.4
2011-01-03,6,3.2,2011-01-03,6,1395.4,1464.2
2011-01-03,7,2,2011-01-03,7,1597.4,1712.6
2011-01-03,8,1.2,2011-01-03,8,1717.1,1847.1
2011-01-03,9,0.8,2011-01-03,9,1753.6,1859.2
2011-01-03,10,0.4,2011-01-03,10,1762.8,1875.8
2011-01-03,11,0.2,2011-01-03,11,1748.2,1891.4
2011-01-03,12,-0.4,2011-01-03,12,1726.5,1892.8
2011-01-03,13,-0.7,2011-01-03,13,1735.8,1877.4
2011-01-03,14,-0.1,2011-01-03,14,1722.8,1861.9
2011-01-03,15,0.4,2011-01-03,15,1715.7,1841.2
2011-01-03,16,0.9,2011-01-03,16,1753.2,1868.9
2011-01-03,17,0.6,2011-01-03,17,1947,2052.7
2011-01-03,18,1.9,2011-01-03,18,2138.4,2266.6
2011-01-03,19,1.6,2011-01-03,19,2102.6,2273.3
2011-01-03,20,1.7,2011-01-03,20,2053.9,2226
2011-01-03,21,1.8,2011-01-03,21,2007.5,2120
2011-01-03,22,1.2,2011-01-03,22,1844.2,1952.6
2011-01-03,23,0.6,2011-01-03,23,1672.1,1747.2
2011-01-04,0,0.3,2011-01-03,24,1515,1563.9
2011-01-04,1,0.2,2011-01-04,1,1527.8,1445.6
2011-01-04,2,-0.2,2011-01-04,2,1464.3,1385.4
2011-01-04,3,-0.6,2011-01-04,3,1425.7,1364.8
2011-01-04,4,-1,2011-01-04,4,1424.3,1368.1
2011-01-04,5,-1,2011-01-04,5,1459.2,1405
2011-01-04,6,-1,2011-01-04,6,1590,1543.6
2011-01-04,7,-1.3,2011-01-04,7,1830.1,1801
2011-01-04,8,-1.7,2011-01-04,8,1968.2,1935.8
2011-01-04,9,-1.9,2011-01-04,9,1992.6,1938.3
2011-01-04,10,-2,2011-01-04,10,1984.2,1928.8
2011-01-04,11,-2.3,2011-01-04,11,1949.5,1923.7
2011-01-04,12,-2.4,2011-01-04,12,1936.2,1904.1
2011-01-04,13,-2.5,2011-01-04,13,1917.4,1881.4
2011-01-04,14,-1.3,2011-01-04,14,1905,1873.2
2011-01-04,15,-0.1,2011-01-04,15,1888.7,1845.7
2011-01-04,21,3.9,2011-01-04,16,1967.2,1865.3
2011-01-04,22,3.8,2011-01-04,17,2146.2,2031.2
2011-01-04,23,3.2,2011-01-04,18,2329.8,2231.8
2011-01-05,0,2.6,2011-01-04,19,2341.7,2245.1
2011-01-05,1,1.9,2011-01-04,20,2288.8,2199.1
2011-01-05,2,1.7,2011-01-04,21,2211.9,2111.9
2011-01-05,3,1.4,2011-01-04,22,2020.9,1947.5
2011-01-05,4,1.3,2011-01-04,23,1813.6,1732.6
2011-01-05,5,0.7,2011-01-04,24,1622.3,1549.4
2011-01-05,6,-0.5,2011-01-05,1,1363.4,1442.2
2011-01-05,7,0,2011-01-05,2,1302.7,1382.3
2011-01-05,8,0.2,2011-01-05,3,1277.5,1354.4
2011-01-05,9,0.2,2011-01-05,4,1278,1351.3
2011-01-05,10,-0.1,2011-01-05,5,1311,1394.1
2011-01-05,11,-0.3,2011-01-05,6,1440.6,1530.2
2011-01-05,12,-0.6,2011-01-05,7,1673.4,1788.6
2011-01-05,13,-0.4,2011-01-05,8,1816.9,1921.2
2011-01-05,14,0.6,2011-01-05,9,1858,1924.1
2011-01-05,15,1.3,2011-01-05,10,1856.2,1915.5
2011-01-05,16,2.5,2011-01-05,11,1812.5,1908.5
2011-01-05,17,3.4,2011-01-05,12,1822.6,1893.9
2011-01-05,18,3.8,2011-01-05,13,1806.1,1863.8
2011-01-05,19,4.2,2011-01-05,14,1791.6,1848.1
2011-01-05,20,3.9,2011-01-05,15,1785.1,1832.5
