date,highT,avgT,lowT,avgH,hdd
2011-01-01,55.4,46.4,35.6,73,18.6
2011-01-02,51.8,44.6,37.4,85,20.4
2011-01-03,37.4,33.8,28.4,48,31.200000000000003
2011-01-04,39.2,32.0,24.8,52,33.0
2011-01-05,39.2,33.8,28.4,49,31.200000000000003
2011-01-06,32.0,26.6,21.2,49,38.4
2011-01-07,35.6,28.4,23.0,71,36.6
2011-01-08,33.8,30.2,26.6,85,34.8
2011-01-09,35.6,30.2,24.8,68,34.8
2011-01-10,35.6,28.4,23.0,52,36.6
2011-01-11,30.2,26.6,21.2,68,38.4
2011-01-12,35.6,32.0,28.4,84,33.0
2011-01-13,30.2,26.6,21.2,59,38.4
2011-01-14,24.8,21.2,17.6,61,43.8
2011-01-15,33.8,24.8,15.8,70,40.2
2011-01-16,35.6,28.4,21.2,56,36.6
2011-01-17,21.2,17.6,14.0,51,47.4
2011-01-18,39.2,28.4,17.6,78,36.6
2011-01-19,39.2,35.6,32.0,93,29.4
2011-01-20,32.0,28.4,26.6,71,36.6
2011-01-21,30.2,26.6,21.2,74,38.4
2011-01-22,26.6,21.2,17.6,52,43.8
2011-01-23,24.8,15.8,5.0,56,49.2
2011-01-24,12.2,6.8,-2.2,43,58.2
2011-01-25,32.0,21.2,12.2,63,43.8
2011-01-26,33.8,24.8,15.8,87,40.2
2011-01-27,35.6,30.2,24.8,66,34.8
2011-01-28,33.8,26.6,17.6,74,38.4
2011-01-29,37.4,32.0,26.6,72,33.0
2011-01-30,35.6,30.2,26.6,55,34.8
2011-01-31,26.6,21.2,15.8,48,43.8
2011-02-01,21.2,19.4,15.8,63,45.6
2011-02-02,35.6,28.4,19.4,87,36.6
2011-02-03,28.4,24.8,19.4,70,40.2
2011-02-04,33.8,24.8,15.8,54,40.2
2011-02-05,37.4,30.2,21.2,67,34.8
2011-02-06,42.8,39.2,35.6,75,25.799999999999997
2011-02-07,42.8,35.6,28.4,68,29.4
2011-02-08,39.2,28.4,17.6,74,36.6
2011-02-09,30.2,21.2,12.2,46,43.8
